PLAYER_ID,PLAYER_NAME,n_shots,actual_fg,mean_xfg,raw_delta,sigma2_within,weight,shrunk_delta,ci_lo,ci_hi
1629060,Rui Hachimura,107,0.5420560747663551,0.4246031,0.11745297017498546,0.002126838163638575,0.63593110892949,0.07469199757044082,0.0288594491988699,0.2055373455911317
1628392,Isaiah Hartenstein,37,0.7837837837837838,0.61282295,0.17096083389746175,0.005558516179844791,0.40060434786589727,0.06848765337410265,0.04159077653611029,0.30004521048552274
1628969,Mikal Bridges,91,0.5934065934065934,0.49631673,0.09708986243048867,0.0024233731565923454,0.605210384829732,0.05875979300462179,0.011365255787149892,0.1871773747543057
1630577,Julian Champagnie,62,0.5161290322580645,0.40712973,0.10899929750350212,0.0036823015183241386,0.5022113867395919,0.054740688352875135,-0.012834864464257993,0.22288017069259958
1628384,OG Anunoby,97,0.6185567010309279,0.5348836,0.0836730826761305,0.0021290326551773276,0.6356923113085783,0.05319033532070316,-0.013341768669713403,0.17206276355637717
1642461,Spencer Jones,19,0.6842105263157895,0.4705279,0.21368263897142914,0.011337774282016913,0.2467992696505864,0.052736719235158644,0.009262414904017201,0.41760141763247943
1626220,Royce O'Neale,14,0.6428571428571429,0.36379918,0.27905795829636715,0.016262078771785815,0.1859638662846967,0.05189469684230608,0.05224121766430991,0.4940923890897206
203083,Andre Drummond,23,0.6956521739130435,0.5158834,0.17976878777794214,0.009597734152031306,0.2790571095234363,0.05016575829984458,0.009337553835433462,0.35000465541430137
1626157,Karl-Anthony Towns,92,0.5869565217391305,0.5058767,0.08107980178750085,0.002434831485856458,0.6040827637932024,0.04897891075159854,-0.01511820881910946,0.1726070273991512
1628379,Luke Kennard,75,0.49333333333333335,0.4040772,0.08925613125165305,0.0031199791802300346,0.5435288395498012,0.04851328144191573,-0.024055308361848195,0.1940415783524513
1629674,Neemias Queta,34,0.7352941176470589,0.6297904,0.10550369234646073,0.005712979392609382,0.39404106291684066,0.04157278707385073,-0.03178012300940121,0.24556383948554006
1631096,Chet Holmgren,86,0.5930232558139535,0.5264342,0.066589072693226,0.002435093122021194,0.6040570650880014,0.04022359981800168,-0.020692812954617102,0.15737533529483994
1630168,Onyeka Okongwu,48,0.5833333333333334,0.4964539,0.08687942226727807,0.004363328218460083,0.45987359305206393,0.03995355208034066,-0.03718351710898181,0.20324895532491305
202331,Paul George,142,0.45774647887323944,0.400465,0.05728146727655975,0.0016246754790648324,0.6957362012795252,0.03985279044671111,-0.02161374843456376,0.13613844272011602
